time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2011-01-01T09:56:58.120Z,-26.803,-63.136,576.8,7,mww,607,18.4,,0.85,pde,pde20110101095658120_576,2014-11-13T10:03:39.711Z,"Santiago Del Estero, Argentina",earthquake
2011-01-02T20:20:17.780Z,-38.355,-73.326,24,7.2,mww,397,30.1,,1.1,pde,pde20110102202017780_24,2014-11-13T10:03:53.121Z,"Araucania, Chile",earthquake
2011-01-13T16:16:41.540Z,-20.628,168.471,9,7,mww,578,13.3,,0.99,pde,pde20110113161641540_9,2014-11-13T10:04:05.430Z,"Loyalty Islands, New Caledonia",earthquake
2011-01-18T20:23:23.480Z,28.777,63.951,68,7.2,mww,372,25.3,,1.3,pde,pde20110118202323480_68,2014-11-13T10:04:34.111Z,"southwestern Pakistan",earthquake
2011-03-09T02:45:20.330Z,38.435,142.842,32,7.3,mww,550,17.4,,0.98,pde,pde20110309024520330_32,2014-11-13T10:08:50.103Z,"near the east coast of Honshu, Japan",earthquake
2011-03-11T05:46:24.120Z,38.297,142.373,29,9,mww,541,9.5,,1.16,pde,pde20110311054624120_29,2014-11-13T10:09:47.115Z,"near the east coast of Honshu, Japan",earthquake
2011-03-11T06:15:40.280Z,36.281,141.111,42.6,7.9,mwc,163,48.4,,1.44,pde,pde20110311061540280_42,2014-11-13T10:10:49.277Z,"near the east coast of Honshu, Japan",earthquake
2011-03-11T06:25:50.300Z,38.058,144.59,18.6,7.7,mwc,507,10.8,,0.85,pde,pde20110311062550300_18,2014-09-04T16:26:30.000Z,"off the east coast of Honshu, Japan",earthquake
2011-04-07T14:32:43.290Z,38.276,141.588,42,7.1,mww,446,17.7,,0.94,pde,pde20110407143243290_42,2014-11-13T10:17:37.935Z,"near the east coast of Honshu, Japan",earthquake
2011-06-24T03:09:39.470Z,52.05,-171.836,52,7.3,mww,791,15.3,,1.05,pde,pde20110624030939470_52,2014-09-04T16:20:00.000Z,"Fox Islands, Aleutian Islands, Alaska",earthquake
2011-07-06T19:03:18.260Z,-29.539,-176.34,17,7.6,mww,567,33.5,,1.17,pde,pde20110706190318260_17,2014-09-04T16:21:11.000Z,"Kermadec Islands region",earthquake
2011-07-10T00:57:10.800Z,38.034,143.264,23,7,mww,531,12.4,,1.04,pde,pde20110710005710800_23,2014-09-04T16:22:04.000Z,"off the east coast of Honshu, Japan",earthquake
2011-08-20T16:55:02.810Z,-18.365,168.143,32,7.2,mww,280,18.4,,1.26,pde,pde20110820165502810_32,2014-11-13T10:27:14.361Z,"Vanuatu",earthquake
2011-08-20T18:19:23.550Z,-18.311,168.218,28,7.1,mww,564,12.3,,1.07,pde,pde20110820181923550_28,2014-11-13T10:27:35.594Z,"Vanuatu",earthquake
2011-08-24T17:46:11.650Z,-7.641,-74.525,147,7,mww,471,26.9,,0.87,pde,pde20110824174611650_147,2014-11-13T10:28:27.536Z,"northern Peru",earthquake
2011-09-03T22:55:40.920Z,-20.671,169.716,185.1,7,mww,406,15.3,,0.99,pde,pde20110903225540920_185,2014-11-13T10:28:52.181Z,"Vanuatu",earthquake
2011-09-15T19:31:04.080Z,-21.611,-179.528,644.6,7.3,mww,646,22.2,,1.06,pde,pde20110915193104080_644,2014-09-04T16:37:50.000Z,"Fiji region",earthquake
2011-10-21T17:57:16.100Z,-28.993,-176.238,33,7.4,mww,707,14.8,,0.87,pde,pde20111021175716100_33,2014-09-04T16:16:05.000Z,"Kermadec Islands region",earthquake
2011-10-23T10:41:22.930Z,38.722,43.513,16,7.1,mww,694,19.7,,0.94,pde,pde20111023104122930_16,2014-11-13T10:32:52.560Z,"eastern Turkey",earthquake
2011-12-14T05:04:59.270Z,-7.561,146.804,140.9,7.1,mww,485,10.6,,0.77,pde,pde20111214050459270_140,2014-11-13T10:37:30.081Z,"eastern New Guinea region, Papua New Guinea",earthquake
