Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,12.8,13.06,12.61,13.03,73000,10.62
2011-12-29,12.95,13.05,12.86,12.89,58600,10.51
2011-12-28,13.1,13.12,12.9,12.99,96000,10.59
2011-12-27,12.99,13.08,12.92,13.05,70100,10.64
2011-12-23,13.08,13.08,12.9,12.93,47200,10.54
2011-12-22,13.01,13.01,12.87,12.92,53200,10.53
2011-12-21,12.98,13.01,12.82,12.91,33600,10.52
2011-12-20,12.95,13.06,12.92,12.96,53700,10.56
2011-12-19,13.01,13.01,12.66,12.67,41300,10.33
2011-12-16,12.78,13.01,12.78,12.88,30600,10.5
2011-12-15,13.05,13.05,12.69,12.82,58800,10.45
2011-12-14,12.94,13.07,12.85,12.86,56900,10.48
2011-12-13,13.2,13.34,13.09,13.1,91800,10.68
2011-12-12,13.58,13.58,13.33,13.47,38400,10.73
2011-12-09,13.47,13.65,13.47,13.59,26700,10.83
2011-12-08,13.48,13.67,13.4,13.42,39900,10.69
2011-12-07,13.6,13.67,13.42,13.66,38400,10.88
2011-12-06,13.58,13.7,13.53,13.67,32400,10.89
2011-12-05,13.66,13.7,13.54,13.59,34800,10.83
2011-12-02,13.66,13.66,13.45,13.5,39700,10.76
2011-12-01,13.48,13.57,13.42,13.52,31300,10.77
2011-11-30,13.3,13.46,13.19,13.46,84900,10.72
2011-11-29,13.11,13.14,12.92,13.05,33400,10.4
2011-11-28,13.28,13.28,12.93,13.06,45700,10.41
2011-11-25,12.81,12.9,12.79,12.8,18900,10.2
2011-11-23,12.96,13.04,12.83,12.89,69900,10.27
2011-11-22,13.19,13.19,12.99,13.14,38400,10.47
2011-11-21,13.1,13.19,12.94,13.19,69500,10.51
2011-11-18,13.41,13.41,13.17,13.23,41500,10.54
2011-11-17,13.68,13.68,13.21,13.31,90400,10.6
2011-11-16,13.79,13.83,13.61,13.68,27500,10.9
2011-11-15,13.79,13.9,13.66,13.9,33500,11.07
2011-11-14,13.8,13.8,13.62,13.78,38200,10.98
2011-11-11,13.85,13.85,13.56,13.79,61600,10.99
2011-11-10,13.58,13.62,13.39,13.51,40200,10.76
2011-11-09,13.58,13.64,13.4,13.45,33700,10.72
2011-11-08,13.75,13.9,13.66,13.9,67000,11.07
2011-11-07,13.72,13.75,13.54,13.72,23300,10.93
2011-11-04,13.66,13.73,13.57,13.72,36600,10.93
2011-11-03,13.66,13.79,13.48,13.79,41600,10.99
2011-11-02,13.46,13.58,13.35,13.45,57000,10.72
