date,open
2011-12-30,12.8
2011-12-29,12.95
2011-12-28,13.1
2011-12-27,12.99
2011-12-23,13.08
2011-12-22,13.01
2011-12-21,12.98
2011-12-20,12.95
2011-12-19,13.01
2011-12-16,12.78
2011-12-15,13.05
2011-12-14,12.94
2011-12-13,13.2
2011-12-12,13.58
2011-12-09,13.47
2011-12-08,13.48
2011-12-07,13.6
2011-12-06,13.58
2011-12-05,13.66
2011-12-02,13.66
2011-12-01,13.48
2011-11-30,13.3
2011-11-29,13.11
2011-11-28,13.28
2011-11-25,12.81
2011-11-23,12.96
2011-11-22,13.19
2011-11-21,13.1
2011-11-18,13.41
2011-11-17,13.68
2011-11-16,13.79
2011-11-15,13.79
2011-11-14,13.8
2011-11-11,13.85
2011-11-10,13.58
2011-11-09,13.58
2011-11-08,13.75
2011-11-07,13.72
2011-11-04,13.66
2011-11-03,13.66
2011-11-02,13.46
2011-11-01,13.4
2011-10-31,13.8
2011-10-28,13.9
2011-10-27,13.89
2011-10-26,13.72
2011-10-25,13.9
2011-10-24,13.69
2011-10-21,13.72
2011-10-20,13.61
2011-10-19,13.72
2011-10-18,13.59
2011-10-17,13.68
2011-10-14,13.6
2011-10-13,13.46
2011-10-12,13.39
2011-10-11,13.17
2011-10-10,13.14
2011-10-07,13.14
2011-10-06,12.91
2011-10-05,12.39
2011-10-04,12.38
2011-10-03,12.86
2011-09-30,12.94
2011-09-29,13.31
2011-09-28,13.27
2011-09-27,13.47
2011-09-26,13.1
2011-09-23,13.02
2011-09-22,13.1
2011-09-21,13.71
2011-09-20,13.71
2011-09-19,13.52
2011-09-16,13.59
2011-09-15,13.55
2011-09-14,13.32
2011-09-13,13.08
2011-09-12,13.24
2011-09-09,13.38
2011-09-08,13.48
2011-09-07,13.51
2011-09-06,13.03
2011-09-02,13.52
2011-09-01,13.64
2011-08-31,13.75
2011-08-30,13.51
2011-08-29,13.24
2011-08-26,12.88
2011-08-25,13.16
2011-08-24,12.92
2011-08-23,12.69
2011-08-22,12.68
2011-08-19,12.54
2011-08-18,13.01
2011-08-17,13.53
2011-08-16,13.5
2011-08-15,13.5
2011-08-12,13.4
2011-08-11,12.7
2011-08-10,13.04
2011-08-09,12.19
2011-08-08,13
2011-08-05,13.31
2011-08-04,13.66
2011-08-03,13.76
2011-08-02,14.09
2011-08-01,14.5
2011-07-29,14.1
2011-07-28,14.31
2011-07-27,14.7
2011-07-26,14.64
2011-07-25,14.64
2011-07-22,14.76
2011-07-21,14.75
2011-07-20,14.74
2011-07-19,14.43
2011-07-18,14.42
2011-07-15,14.46
2011-07-14,14.47
2011-07-13,14.54
2011-07-12,14.35
2011-07-11,14.67
2011-07-08,14.75
2011-07-07,14.74
2011-07-06,14.37
2011-07-05,14.45
2011-07-01,14.5
2011-06-30,14.21
2011-06-29,14.25
2011-06-28,13.96
2011-06-27,13.84
2011-06-24,13.8
2011-06-23,13.67
2011-06-22,13.91
2011-06-21,13.66
2011-06-20,13.6
2011-06-17,13.75
2011-06-16,13.82
2011-06-15,14.07
2011-06-14,14.04
2011-06-13,14.07
2011-06-10,14.3
2011-06-09,14.31
2011-06-08,14.41
2011-06-07,14.43
2011-06-06,14.68
2011-06-03,14.61
2011-06-02,14.7
2011-06-01,14.85
2011-05-31,14.73
2011-05-27,14.83
2011-05-26,14.71
2011-05-25,14.75
2011-05-24,14.74
2011-05-23,14.7
2011-05-20,14.84
2011-05-19,14.86
2011-05-18,14.64
2011-05-17,14.5
2011-05-16,14.79
2011-05-13,14.92
2011-05-12,14.83
2011-05-11,15.04
2011-05-10,14.93
2011-05-09,14.81
2011-05-06,14.9
2011-05-05,14.64
2011-05-04,14.87
2011-05-03,15.01
2011-05-02,15.18
2011-04-29,15
2011-04-28,14.99
2011-04-27,14.99
2011-04-26,15
2011-04-25,15
2011-04-21,14.9
2011-04-20,14.93
2011-04-19,14.57
2011-04-18,14.31
2011-04-15,14.5
2011-04-14,14.5
2011-04-13,14.72
2011-04-12,14.59
2011-04-11,14.99
2011-04-08,14.85
2011-04-07,14.8
2011-04-06,14.74
2011-04-05,14.85
2011-04-04,14.76
2011-04-01,14.78
2011-03-31,14.69
2011-03-30,14.62
2011-03-29,14.49
2011-03-28,14.34
2011-03-25,14.49
2011-03-24,14.3
2011-03-23,14.29
2011-03-22,14.32
2011-03-21,14.17
2011-03-18,14.25
2011-03-17,14.19
2011-03-16,14.4
2011-03-15,14.5
2011-03-14,14.7
2011-03-11,14.62
2011-03-10,14.95
2011-03-09,15
2011-03-08,15.11
2011-03-07,15.29
2011-03-04,15.3
2011-03-03,14.94
2011-03-02,14.69
2011-03-01,15.04
2011-02-28,15.06
2011-02-25,14.75
2011-02-24,14.65
2011-02-23,15.09
2011-02-22,15.1
2011-02-18,15.25
2011-02-17,15.18
2011-02-16,15.14
2011-02-15,15.02
2011-02-14,15.14
2011-02-11,14.97
2011-02-10,14.92
2011-02-09,15.14
2011-02-08,15.1
2011-02-07,15
2011-02-04,14.99
2011-02-03,14.97
2011-02-02,14.89
2011-02-01,14.64
2011-01-31,14.47
2011-01-28,14.8
2011-01-27,14.7
2011-01-26,14.5
2011-01-25,14.48
2011-01-24,14.13
2011-01-21,14.49
2011-01-20,14.28
2011-01-19,14.6
2011-01-18,14.6
2011-01-14,14.55
2011-01-13,14.63
2011-01-12,14.59
2011-01-11,14.64
2011-01-10,14.5
2011-01-07,14.57
2011-01-06,14.5
2011-01-05,14.4
2011-01-04,14.4
2011-01-03,14.31
