Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,403.51,406.28,403.49,405,44915500,54.79
2011-12-29,403.4,405.65,400.51,405.12,53994500,54.81
2011-12-28,406.89,408.25,401.34,402.64,57165500,54.47
2011-12-27,403.1,409.09,403.02,406.53,66269000,55
2011-12-23,399.69,403.59,399.49,403.33,67349800,54.56
2011-12-22,397,399.13,396.1,398.55,50589700,53.92
2011-12-21,396.69,397.3,392.01,396.45,65737000,53.63
2011-12-20,387.76,396.1,387.26,395.95,84303800,53.57
2011-12-19,382.47,384.85,380.48,382.21,58882600,51.71
2011-12-16,380.36,384.15,379.57,381.02,105369600,51.55
2011-12-15,383.33,383.74,378.31,378.94,64050000,51.26
2011-12-14,386.7,387.38,377.68,380.19,101721900,51.43
2011-12-13,393,395.4,387.1,388.81,84732200,52.6
2011-12-12,391.68,393.9,389.45,391.84,75266800,53.01
2011-12-09,392.85,394.04,391.03,393.62,74248300,53.25
2011-12-08,391.45,395.5,390.23,390.66,94089100,52.85
2011-12-07,389.93,390.94,386.76,389.09,76186600,52.64
2011-12-06,392.51,394.63,389.38,390.95,70899500,52.89
2011-12-05,393.49,396.41,390.39,393.01,89302500,53.17
2011-12-02,389.83,393.63,388.58,389.7,94763900,52.72
2011-12-01,382.54,389,380.75,387.93,96795300,52.48
2011-11-30,381.29,382.28,378.3,382.2,101484600,51.71
2011-11-29,375.84,378.83,370.2,373.2,93963800,50.49
2011-11-28,372.35,376.72,370.33,376.12,86603300,50.88
2011-11-25,368.42,371.15,363.32,363.57,63690200,49.18
2011-11-23,374.51,375.84,366.88,366.99,107067800,49.65
2011-11-22,371.02,377.93,370.94,376.51,102255300,50.94
2011-11-21,370.4,371.68,365.91,369.01,111995100,49.92
2011-11-18,378.92,379.99,374.88,374.94,92984500,50.72
2011-11-17,383.98,384.58,375.5,377.41,119975100,51.06
2011-11-16,389.25,391.14,384.32,384.77,87302600,52.05
2011-11-15,380.8,389.5,379.45,388.83,107702700,52.6
2011-11-14,383.52,385.25,378.2,379.26,108226300,51.31
2011-11-11,386.61,388.7,380.26,384.62,163446500,52.03
2011-11-10,397.03,397.21,382.15,385.22,186188100,52.11
2011-11-09,396.97,400.89,394.23,395.28,139671000,53.47
2011-11-08,402.21,408,401.56,406.23,100110500,54.96
2011-11-07,399.91,400,396.13,399.73,67568900,54.08
2011-11-04,402.03,403.44,399.16,400.24,75557300,54.15
2011-11-03,399.07,403.4,395.36,403.07,110346600,54.53
2011-11-02,400.09,400.44,395.11,397.41,81837700,53.76
2011-11-01,397.41,399.5,393.22,396.51,132947500,53.64
2011-10-31,402.42,409.33,401.05,404.78,96375300,54.76
2011-10-28,403,406.35,402.51,404.95,80710700,54.78
2011-10-27,407.56,409,401.89,404.69,123666200,54.75
2011-10-26,401.76,402.55,393.15,400.6,114076200,54.19
2011-10-25,405.03,406.55,397.38,397.77,107606800,53.81
2011-10-24,396.18,406.5,395.4,405.77,125534500,54.89
2011-10-21,398.1,399.14,390.75,392.87,155311100,53.15
2011-10-20,400,400.35,394.21,395.31,137317600,53.48
2011-10-19,401.35,408.42,397.8,398.62,276014900,53.93
2011-10-18,421.76,424.81,415.99,422.24,220400600,57.12
2011-10-17,421.74,426.7,415.94,419.99,171511200,56.82
2011-10-14,416.83,422,415.27,422,143341800,57.09
2011-10-13,404.98,408.43,402.85,408.43,106546300,55.25
2011-10-12,407.34,409.25,400.14,402.19,155571500,54.41
2011-10-11,392.57,403.18,391.5,400.29,151421900,54.15
2011-10-10,379.09,388.81,378.21,388.81,110628700,52.6
2011-10-07,375.78,377.74,368.49,369.8,133864500,50.03
2011-10-06,373.33,384.78,371.8,377.37,203145600,51.05
2011-10-05,367.86,379.82,360.3,378.25,196617400,51.17
2011-10-04,374.57,381.8,354.24,372.5,308419300,50.39
2011-10-03,380.37,382.64,373.17,374.6,167274800,50.68
2011-09-30,387.12,388.89,381.18,381.32,136910200,51.59
2011-09-29,401.92,402.21,386.21,390.57,162771700,52.84
2011-09-28,400.19,403.74,396.51,397.01,107409400,53.71
2011-09-27,408.73,409.25,398.06,399.26,158124400,54.01
2011-09-26,399.86,403.98,391.3,403.17,203219100,54.54
2011-09-23,400.28,406.74,399.85,404.3,136569300,54.69
2011-09-22,401.03,409.82,396.7,401.82,242120200,54.36
2011-09-21,419.64,421.59,412,412.14,151494000,55.76
2011-09-20,415.25,422.86,411.19,413.45,193938500,55.93
2011-09-19,397,413.23,395.2,411.63,205965200,55.69
2011-09-16,395.54,400.5,395.03,400.5,174628300,54.18
2011-09-15,391.43,393.66,389.9,392.96,104454700,53.16
2011-09-14,387.02,392.21,385.76,389.3,133681100,52.67
2011-09-13,382.14,386.21,380.25,384.62,110140100,52.03
2011-09-12,373,380.88,371.9,379.94,116958100,51.4
2011-09-09,383.93,386,375.02,377.48,141203300,51.07
2011-09-08,382.4,388.61,382.31,384.14,104039600,51.97
2011-09-07,385.56,385.6,382,383.93,87644200,51.94
2011-09-06,367.37,380.33,366.48,379.74,127424500,51.37
2011-09-02,374.74,378,371.83,374.05,109734800,50.6
2011-09-01,385.82,387.34,380.72,381.03,85931300,51.55
2011-08-31,390.57,392.08,381.86,384.83,130646600,52.06
2011-08-30,388.25,391.84,386.21,389.99,104480600,52.76
2011-08-29,388.18,391.5,388,389.97,101317300,52.76
2011-08-26,371.17,383.8,370.8,383.58,160369300,51.89
2011-08-25,365.08,375.45,365,373.72,217836500,50.56
2011-08-24,373.47,378.96,370.6,376.18,156566900,50.89
2011-08-23,360.3,373.64,357,373.6,164208800,50.54
2011-08-22,364.51,364.88,355.09,356.44,133828800,48.22
2011-08-19,362.17,367,356,356.03,193972100,48.16
2011-08-18,370.84,372.65,361.37,366.05,212858800,49.52
2011-08-17,382.31,384.52,378,380.44,110515300,51.47
2011-08-16,381.52,383.37,376.06,380.48,124687500,51.47
2011-08-15,379.63,384.97,378.09,383.41,115136000,51.87
2011-08-12,378.07,379.64,374.23,376.99,132244000,51
2011-08-11,370.52,375.45,364.72,373.7,185492300,50.56
2011-08-10,371.15,374.65,362.5,363.69,219664200,49.2
2011-08-09,361.3,374.61,355,374.01,270645900,50.6
2011-08-08,361.69,367.77,353.02,353.21,285958400,47.78
2011-08-05,380.44,383.5,362.57,373.62,301147700,50.54
2011-08-04,389.41,391.32,377.35,377.37,217851900,51.05
2011-08-03,390.98,393.55,382.24,392.57,183127000,53.11
2011-08-02,397.65,397.9,388.35,388.91,159884900,52.61
2011-08-01,397.78,399.5,392.37,396.75,153209000,53.67
2011-07-29,387.64,395.15,384,390.48,158146100,52.83
2011-07-28,391.62,396.99,388.13,391.82,148508500,53.01
2011-07-27,400.59,402.64,392.15,392.59,164831100,53.11
2011-07-26,400,404.5,399.68,403.41,119145600,54.57
2011-07-25,390.35,400,389.62,398.5,147451500,53.91
2011-07-22,388.32,395.05,387.75,393.3,129182200,53.21
2011-07-21,386.95,390.06,383.9,387.29,131633600,52.39
2011-07-20,396.12,396.27,386,386.9,235335100,52.34
2011-07-19,378,378.65,373.32,376.85,204786400,50.98
2011-07-18,365.43,374.65,365.28,373.8,143163300,50.57
2011-07-15,361.17,365,359.17,364.92,121116800,49.37
2011-07-14,361.01,361.61,356.34,357.77,107633400,48.4
2011-07-13,358.33,360,356.38,358.02,97909700,48.43
2011-07-12,353.53,357.68,348.62,353.75,112902300,47.86
2011-07-11,356.34,359.77,352.82,354,110668600,47.89
2011-07-08,353.34,360,352.2,359.71,122408300,48.66
2011-07-07,354.67,358,354,357.2,99915900,48.32
2011-07-06,348.95,354.1,346.71,351.76,111156500,47.59
2011-07-05,343,349.83,342.5,349.43,88763500,47.27
2011-07-01,335.95,343.5,334.2,343.26,108828300,46.44
2011-06-30,334.7,336.13,332.84,335.67,80738700,45.41
2011-06-29,336.04,336.37,331.88,334.04,88136300,45.19
2011-06-28,333.65,336.7,333.44,335.26,73574900,45.35
2011-06-27,327.59,333.9,327.25,332.04,84953400,44.92
2011-06-24,331.37,333.15,325.09,326.35,109951800,44.15
2011-06-23,318.94,331.69,318.12,331.23,139939800,44.81
2011-06-22,325.16,328.9,322.38,322.61,97645800,43.64
2011-06-21,316.68,325.8,315.2,325.3,123345600,44.01
2011-06-20,317.36,317.7,310.5,315.32,160161400,42.66
2011-06-17,328.99,329.25,319.36,320.26,153755000,43.33
2011-06-16,326.9,328.68,318.33,325.16,127647800,43.99
2011-06-15,329.75,330.3,324.88,326.75,99799000,44.2
2011-06-14,330,333.25,329.31,332.44,83642300,44.97
2011-06-13,327.2,328.31,325.07,326.6,82368300,44.18
2011-06-10,330.55,331.66,325.51,325.9,108488800,44.09
2011-06-09,333.25,333.67,330.75,331.49,68772200,44.84
2011-06-08,331.78,334.8,330.65,332.24,83430900,44.95
2011-06-07,338.17,338.22,331.9,332.04,132446300,44.92
2011-06-06,345.7,347.05,337.81,338.04,115485300,45.73
2011-06-03,343.18,345.33,342.01,343.44,78312500,46.46
2011-06-02,346.5,347.98,344.3,346.1,84695800,46.82
2011-06-01,348.87,352.13,344.65,345.51,138670700,46.74
2011-05-31,341.1,347.83,341,347.83,104438600,47.06
2011-05-27,334.8,337.63,334.31,337.41,50899800,45.65
2011-05-26,335.97,336.89,334.43,335,55640200,45.32
2011-05-25,333.43,338.56,332.85,336.78,73556000,45.56
2011-05-24,335.5,335.9,331.34,332.19,80481800,44.94
2011-05-23,329.97,335.98,329.42,334.4,95900000,45.24
2011-05-20,339.56,340.95,335.02,335.22,84492100,45.35
2011-05-19,342.08,342.41,338.67,340.53,65292500,46.07
2011-05-18,336.47,341.05,336,339.87,83694100,45.98
2011-05-17,332,336.14,330.73,336.14,113083600,45.47
2011-05-16,339.2,341.22,332.6,333.3,112443800,45.09
2011-05-13,345.66,346.25,340.35,340.5,81529000,46.06
2011-05-12,346.12,347.12,342.27,346.57,80500000,46.88
2011-05-11,349.02,350,345.24,347.23,84000000,46.97
2011-05-10,348.89,349.69,346.66,349.45,70522900,47.27
2011-05-09,347.86,349.2,346.53,347.6,51186800,47.02
2011-05-06,349.69,350,346.21,346.66,70033600,46.9
2011-05-05,348.4,350.95,346.05,346.75,83992300,46.91
2011-05-04,348.26,351.83,346.88,349.57,97312600,47.29
2011-05-03,347.99,349.89,345.62,348.2,78337000,47.11
2011-05-02,349.74,350.47,345.5,346.28,110678400,46.85
2011-04-29,346.78,353.95,346.67,350.13,251586300,47.37
2011-04-28,346.19,349.75,345.52,346.75,90239800,46.91
2011-04-27,352.24,352.35,347.1,350.15,89053300,47.37
2011-04-26,353.62,354.99,349.35,350.42,84700000,47.41
2011-04-25,350.34,353.75,350.3,353.01,66636500,47.76
2011-04-21,355,355.13,348.52,350.7,188452600,47.44
2011-04-20,343.51,345.75,341.5,342.41,175166600,46.32
2011-04-19,333.1,337.98,331.71,337.86,104844600,45.71
2011-04-18,326.1,332.23,320.16,331.85,152474700,44.89
2011-04-15,333.3,333.64,326.8,327.46,113401400,44.3
2011-04-14,334.8,336,332.06,332.42,75450200,44.97
2011-04-13,335.02,336.14,332.52,336.13,86555000,45.47
2011-04-12,330.49,333.73,330.2,332.4,106409800,44.97
2011-04-11,334.06,335.67,330.02,330.8,99736700,44.75
2011-04-08,339.92,340.15,333.95,335.06,94383800,45.33
2011-04-07,338.1,340.43,336.03,338.08,93361800,45.74
2011-04-06,341.22,343.9,337.14,338.04,100634800,45.73
2011-04-05,336.99,342.25,336,338.89,120682800,45.85
2011-04-04,344.31,344.6,338.4,341.19,115021200,46.16
2011-04-01,351.11,351.59,343.3,344.56,104665400,46.61
2011-03-31,346.36,349.8,346.06,348.51,68504800,47.15
2011-03-30,350.64,350.88,347.44,348.63,82351500,47.16
2011-03-29,347.66,350.96,346.06,350.96,88225200,47.48
2011-03-28,353.15,354.32,350.44,350.44,77338800,47.41
2011-03-25,348.07,352.06,347.02,351.54,112227500,47.56
2011-03-24,341.85,346,338.86,344.97,101178000,46.67
2011-03-23,339.28,340.22,335.95,339.19,93249100,45.89
2011-03-22,342.56,342.62,339.14,341.2,81480700,46.16
2011-03-21,335.99,339.74,335.26,339.3,102350500,45.9
2011-03-18,337.13,338.2,330,330.67,188303500,44.73
2011-03-17,336.83,339.61,330.66,334.64,164855600,45.27
2011-03-16,342,343,326.26,330.01,290502800,44.64
2011-03-15,342.1,347.84,340.1,345.43,180270300,46.73
2011-03-14,353.18,356.48,351.31,353.56,108989300,47.83
2011-03-11,345.33,352.32,345,351.99,117770100,47.62
2011-03-10,349.12,349.77,344.9,346.67,126884800,46.9
2011-03-09,354.69,354.76,350.6,352.47,113326500,47.68
