date,open,High,Low,Close,Volume,Adj Close
2011-12-30,1257.60,1257.60,1257.60,1257.60,000,1257.60
2011-12-29,1263.02,1263.02,1263.02,1263.02,000,1263.02
2011-12-28,1249.64,1249.64,1249.64,1249.64,000,1249.64
2011-12-27,1265.43,1265.43,1265.43,1265.43,000,1265.43
2011-12-23,1265.33,1265.33,1265.33,1265.33,000,1265.33
2011-12-22,1254.00,1254.00,1254.00,1254.00,000,1254.00
2011-12-21,1243.72,1243.72,1243.72,1243.72,000,1243.72
2011-12-20,1241.30,1241.30,1241.30,1241.30,000,1241.30
2011-12-19,1205.35,1205.35,1205.35,1205.35,000,1205.35
2011-12-16,1219.66,1219.66,1219.66,1219.66,000,1219.66
2011-12-15,1215.75,1215.75,1215.75,1215.75,000,1215.75
2011-12-14,1211.82,1211.82,1211.82,1211.82,000,1211.82
2011-12-13,1225.73,1225.73,1225.73,1225.73,000,1225.73
2011-12-12,1236.47,1236.47,1236.47,1236.47,000,1236.47
2011-12-09,1255.19,1255.19,1255.19,1255.19,000,1255.19
2011-12-08,1234.35,1234.35,1234.35,1234.35,000,1234.35
2011-12-07,1261.01,1261.01,1261.01,1261.01,000,1261.01
2011-12-06,1258.47,1258.47,1258.47,1258.47,000,1258.47
2011-12-05,1257.08,1257.08,1257.08,1257.08,000,1257.08
2011-12-02,1244.28,1244.28,1244.28,1244.28,000,1244.28
2011-12-01,1244.58,1244.58,1244.58,1244.58,000,1244.58
2011-11-30,1246.96,1246.96,1246.96,1246.96,000,1246.96
2011-11-29,1195.19,1195.19,1195.19,1195.19,000,1195.19
2011-11-28,1192.55,1192.55,1192.55,1192.55,000,1192.55
2011-11-25,1158.67,1158.67,1158.67,1158.67,000,1158.67
2011-11-23,1161.79,1161.79,1161.79,1161.79,000,1161.79
2011-11-22,1188.04,1188.04,1188.04,1188.04,000,1188.04
2011-11-21,1192.98,1192.98,1192.98,1192.98,000,1192.98
2011-11-18,1215.65,1215.65,1215.65,1215.65,000,1215.65
2011-11-17,1216.13,1216.13,1216.13,1216.13,000,1216.13
2011-11-16,1236.91,1236.91,1236.91,1236.91,000,1236.91
2011-11-15,1257.81,1257.81,1257.81,1257.81,000,1257.81
2011-11-14,1251.78,1251.78,1251.78,1251.78,000,1251.78
2011-11-11,1263.85,1263.85,1263.85,1263.85,000,1263.85
2011-11-10,1239.69,1239.69,1239.69,1239.69,000,1239.69
2011-11-09,1229.10,1229.10,1229.10,1229.10,000,1229.10
2011-11-08,1275.92,1275.92,1275.92,1275.92,000,1275.92
2011-11-07,1261.12,1261.12,1261.12,1261.12,000,1261.12
2011-11-04,1253.23,1253.23,1253.23,1253.23,000,1253.23
2011-11-03,1261.15,1261.15,1261.15,1261.15,000,1261.15
2011-11-02,1237.90,1237.90,1237.90,1237.90,000,1237.90
2011-11-01,1218.28,1218.28,1218.28,1218.28,000,1218.28
2011-10-31,1253.30,1253.30,1253.30,1253.30,000,1253.30
2011-10-28,1285.09,1285.09,1285.09,1285.09,000,1285.09
2011-10-27,1284.59,1284.59,1284.59,1284.59,000,1284.59
2011-10-26,1242.00,1242.00,1242.00,1242.00,000,1242.00
2011-10-25,1229.05,1229.05,1229.05,1229.05,000,1229.05
2011-10-24,1254.19,1254.19,1254.19,1254.19,000,1254.19
2011-10-21,1238.25,1238.25,1238.25,1238.25,000,1238.25
2011-10-20,1215.39,1215.39,1215.39,1215.39,000,1215.39
2011-10-19,1209.88,1209.88,1209.88,1209.88,000,1209.88
2011-10-18,1225.38,1225.38,1225.38,1225.38,000,1225.38
2011-10-17,1200.86,1200.86,1200.86,1200.86,000,1200.86
2011-10-14,1224.58,1224.58,1224.58,1224.58,000,1224.58
2011-10-13,1203.66,1203.66,1203.66,1203.66,000,1203.66
2011-10-12,1207.25,1207.25,1207.25,1207.25,000,1207.25
2011-10-11,1195.54,1195.54,1195.54,1195.54,000,1195.54
2011-10-10,1194.89,1194.89,1194.89,1194.89,000,1194.89
2011-10-07,1155.46,1155.46,1155.46,1155.46,000,1155.46
2011-10-06,1164.97,1164.97,1164.97,1164.97,000,1164.97
2011-10-05,1144.03,1144.03,1144.03,1144.03,000,1144.03
2011-10-04,1123.95,1123.95,1123.95,1123.95,000,1123.95
2011-10-03,1099.23,1099.23,1099.23,1099.23,000,1099.23
2011-09-30,1131.42,1131.42,1131.42,1131.42,000,1131.42
2011-09-29,1160.40,1160.40,1160.40,1160.40,000,1160.40
2011-09-28,1151.06,1151.06,1151.06,1151.06,000,1151.06
2011-09-27,1175.38,1175.38,1175.38,1175.38,000,1175.38
2011-09-26,1162.95,1162.95,1162.95,1162.95,000,1162.95
2011-09-23,1136.43,1136.43,1136.43,1136.43,000,1136.43
2011-09-22,1129.56,1129.56,1129.56,1129.56,000,1129.56
2011-09-21,1166.76,1166.76,1166.76,1166.76,000,1166.76
2011-09-20,1202.09,1202.09,1202.09,1202.09,000,1202.09
2011-09-19,1204.09,1204.09,1204.09,1204.09,000,1204.09
2011-09-16,1216.01,1216.01,1216.01,1216.01,000,1216.01
2011-09-15,1209.11,1209.11,1209.11,1209.11,000,1209.11
2011-09-14,1188.68,1188.68,1188.68,1188.68,000,1188.68
2011-09-13,1172.87,1172.87,1172.87,1172.87,000,1172.87
2011-09-12,1162.27,1162.27,1162.27,1162.27,000,1162.27
2011-09-09,1154.23,1154.23,1154.23,1154.23,000,1154.23
2011-09-08,1185.90,1185.90,1185.90,1185.90,000,1185.90
2011-09-07,1198.62,1198.62,1198.62,1198.62,000,1198.62
2011-09-06,1165.24,1165.24,1165.24,1165.24,000,1165.24
2011-09-02,1173.97,1173.97,1173.97,1173.97,000,1173.97
2011-09-01,1204.42,1204.42,1204.42,1204.42,000,1204.42
2011-08-31,1218.89,1218.89,1218.89,1218.89,000,1218.89
2011-08-30,1212.92,1212.92,1212.92,1212.92,000,1212.92
2011-08-29,1210.08,1210.08,1210.08,1210.08,000,1210.08
2011-08-26,1176.80,1176.80,1176.80,1176.80,000,1176.80
2011-08-25,1159.27,1159.27,1159.27,1159.27,000,1159.27
2011-08-24,1177.60,1177.60,1177.60,1177.60,000,1177.60
2011-08-23,1162.35,1162.35,1162.35,1162.35,000,1162.35
2011-08-22,1123.82,1123.82,1123.82,1123.82,000,1123.82
2011-08-19,1123.53,1123.53,1123.53,1123.53,000,1123.53
2011-08-18,1140.65,1140.65,1140.65,1140.65,000,1140.65
2011-08-17,1193.89,1193.89,1193.89,1193.89,000,1193.89
2011-08-16,1192.76,1192.76,1192.76,1192.76,000,1192.76
2011-08-15,1204.49,1204.49,1204.49,1204.49,000,1204.49
2011-08-12,1178.81,1178.81,1178.81,1178.81,000,1178.81
2011-08-11,1172.64,1172.64,1172.64,1172.64,000,1172.64
2011-08-10,1120.76,1120.76,1120.76,1120.76,000,1120.76
2011-08-09,1172.53,1172.53,1172.53,1172.53,000,1172.53
2011-08-08,1119.46,1119.46,1119.46,1119.46,000,1119.46
2011-08-05,1199.38,1199.38,1199.38,1199.38,000,1199.38
2011-08-04,1200.07,1200.07,1200.07,1200.07,000,1200.07
2011-08-03,1260.34,1260.34,1260.34,1260.34,000,1260.34
2011-08-02,1254.05,1254.05,1254.05,1254.05,000,1254.05
2011-08-01,1286.94,1286.94,1286.94,1286.94,000,1286.94
2011-07-29,1292.28,1292.28,1292.28,1292.28,000,1292.28
2011-07-28,1300.67,1300.67,1300.67,1300.67,000,1300.67
2011-07-27,1304.89,1304.89,1304.89,1304.89,000,1304.89
2011-07-26,1331.94,1331.94,1331.94,1331.94,000,1331.94
2011-07-25,1337.43,1337.43,1337.43,1337.43,000,1337.43
2011-07-22,1345.02,1345.02,1345.02,1345.02,000,1345.02
2011-07-21,1343.80,1343.80,1343.80,1343.80,000,1343.80
2011-07-20,1325.84,1325.84,1325.84,1325.84,000,1325.84
2011-07-19,1326.73,1326.73,1326.73,1326.73,000,1326.73
2011-07-18,1305.44,1305.44,1305.44,1305.44,000,1305.44
2011-07-15,1316.14,1316.14,1316.14,1316.14,000,1316.14
2011-07-14,1308.87,1308.87,1308.87,1308.87,000,1308.87
2011-07-13,1317.72,1317.72,1317.72,1317.72,000,1317.72
2011-07-12,1313.64,1313.64,1313.64,1313.64,000,1313.64
2011-07-11,1319.49,1319.49,1319.49,1319.49,000,1319.49
2011-07-08,1343.80,1343.80,1343.80,1343.80,000,1343.80
2011-07-07,1353.22,1353.22,1353.22,1353.22,000,1353.22
2011-07-06,1339.22,1339.22,1339.22,1339.22,000,1339.22
2011-07-05,1337.88,1337.88,1337.88,1337.88,000,1337.88
2011-07-01,1339.67,1339.67,1339.67,1339.67,000,1339.67
2011-06-30,1320.64,1320.64,1320.64,1320.64,000,1320.64
2011-06-29,1307.41,1307.41,1307.41,1307.41,000,1307.41
2011-06-28,1296.67,1296.67,1296.67,1296.67,000,1296.67
2011-06-27,1280.10,1280.10,1280.10,1280.10,000,1280.10
2011-06-24,1268.45,1268.45,1268.45,1268.45,000,1268.45
2011-06-23,1283.50,1283.50,1283.50,1283.50,000,1283.50
