-date-open,
2011-12-30,261
2011-12-29,259.64
2011-12-28,259.69
2011-12-27,264.36
2011-12-26,265.79
2011-12-23,264.28
2011-12-22,264.18
2011-12-21,272.52
2011-12-20,270.41
2011-12-19,269.58
2011-12-16,265.7
2011-12-15,270.64
2011-12-14,274.82
2011-12-13,281.89
2011-12-12,285.55
2011-12-09,288.44
2011-12-08,288.64
2011-12-07,287.41
2011-12-06,287.21
2011-12-05,293.07
2011-12-02,293.07
2011-12-01,295.22
2011-11-30,289.92
2011-11-29,300.66
2011-11-28,298.79
2011-11-27,296.96
2011-11-25,296.18
2011-11-24,298.18
2011-11-23,297.9
2011-11-22,300.86
2011-11-21,298.49
2011-11-20,300.33
2011-11-18,300.34
2011-11-17,304.91
2011-11-16,307.82
2011-11-15,316.15
2011-11-14,315.74
2011-11-13,309.3
2011-11-11,309.31
2011-11-10,309.5
2011-11-09,315.38
2011-11-08,313.32
2011-11-07,313.92
2011-11-06,315.26
2011-11-04,316.44
2011-11-03,316.61
2011-11-02,314.91
2011-11-01,308.24
2011-10-31,308.24
2011-10-30,308.9
2011-10-28,308.9
2011-10-27,306.73
2011-10-26,302.94
2011-10-25,299.44
2011-10-24,293.73
2011-10-23,287.29
2011-10-21,286.46
2011-10-20,288.29
2011-10-19,295.36
2011-10-18,296.07
2011-10-17,304.74
2011-10-16,303.94
2011-10-14,303.36
2011-10-13,304.21
2011-10-12,300.99
2011-10-11,289.81
2011-10-10,291.17
2011-10-09,293.52
2011-10-07,293.52
2011-10-06,293.52
2011-10-05,293.52
2011-10-04,293.52
2011-10-03,293.52
2011-09-30,293.52
2011-09-29,295.07
2011-09-28,299.24
2011-09-27,304.81
2011-09-26,300.47
2011-09-25,307.03
2011-09-23,307.03
2011-09-22,307.85
2011-09-21,318.42
2011-09-20,309.32
2011-09-19,307.85
2011-09-18,313.92
2011-09-16,313.92
2011-09-15,315.02
2011-09-14,314.17
2011-09-13,311.97
2011-09-12,315.96
2011-09-11,315.96
2011-09-09,315.96
2011-09-08,317.59
2011-09-07,320.43
2011-09-06,312.89
2011-09-05,312.62
2011-09-04,321.55
2011-09-02,321.55
2011-09-01,325.24
2011-08-31,327.29
2011-08-30,326.99
2011-08-29,328.47
2011-08-28,333.43
2011-08-26,333.43
2011-08-25,333.34
2011-08-24,323.59
2011-08-23,326.39
2011-08-22,319.86
2011-08-21,322.63
2011-08-19,322.58
2011-08-18,320.07
2011-08-17,331.57
2011-08-16,332.61
2011-08-15,334.86
2011-08-14,329.89
2011-08-12,329.89
2011-08-11,328.31
2011-08-10,323.31
2011-08-09,320.07
2011-08-08,319.95
2011-08-07,333.29
2011-08-05,333.34
2011-08-04,340.78
2011-08-03,339.63
2011-08-02,338.23
2011-08-01,342.3
2011-07-31,341.54
2011-07-29,341.55
2011-07-28,342.69
2011-07-27,345.39
2011-07-26,342.34
2011-07-25,341.13
2011-07-24,353.18
2011-07-22,353.18
2011-07-21,352.13
2011-07-20,356.33
2011-07-19,356.68
2011-07-18,359.86
2011-07-17,360.16
2011-07-15,360.16
2011-07-14,357.33
2011-07-13,356.95
